,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_average_sentence_length,mda_percentage_of_complex_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainty_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion,qqdmr_positive_score,qqdmr_negative_score,qqdmr_polarity_score,qqdmr_average_sentence_length,qqdmr_percentage_of_complex_words,qqdmr_fog_index,qqdmr_complex_word_count,qqdmr_word_count,qqdmr_uncertainty_score,qqdmr_constraining_score,qqdmr_positive_word_proportion,qqdmr_negative_word_proportion,qqdmr_uncertainty_word_proportion,qqdmr_constraining_word_proportion,rf_positive_score,rf_negative_score,rf_polarity_score,rf_average_sentence_length,rf_percentage_of_complex_words,rf_fog_index,rf_complex_word_count,rf_word_count,rf_uncertainty_score,rf_constraining_score,rf_positive_word_proportion,rf_negative_word_proportion,rf_uncertainty_word_proportion,rf_constraining_word_proportion,constraining_words_whole_report
12,3662,SUNBEAM CORP/FL/,199908,1999-08-16,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3
13,3662,SUNBEAM CORP/FL/,199908,1999-08-19,10-Q,edgar/data/3662/0000950170-99-001361.txt,88,145,-0.24463519208311077,18.64375,0.5070398927254441,7.660315957090178,3025,5966,185,60,0.014750251424740195,0.02430439155212873,0.031009051290647,0.010056989607777405,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,150
14,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-K/A,edgar/data/3662/0000889812-99-003241.txt,6,57,-0.8095237966742255,17.436363636363637,0.4765380604796663,7.165160678737322,457,959,9,5,0.006256517205422315,0.05943691345151199,0.009384775808133473,0.005213764337851929,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,336
15,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,edgar/data/3662/0000950170-99-001639.txt,91,166,-0.29182879263879846,18.66764705882353,0.5030723176303765,7.6682877505815625,3193,6347,205,69,0.014337482275090595,0.026154088545769654,0.03229872380652277,0.010871277769024737,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,168
16,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,edgar/data/3662/0000950170-99-001640.txt,51,151,-0.49504950249975493,20.829959514170042,0.507482993197279,8.53497700294693,2611,5145,182,60,0.009912536443148687,0.0293488824101069,0.03537414965986395,0.011661807580174927,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,156
17,3662,SUNBEAM CORP/FL/,199911,1999-11-15,NT 10-Q,edgar/data/3662/0000950172-99-001626.txt,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3
18,3662,SUNBEAM CORP/FL/,199911,1999-11-19,10-Q,edgar/data/3662/0000950170-99-001856.txt,93,180,-0.31868131751398787,19.16521739130435,0.5037810042347247,7.86759935821563,3331,6612,203,71,0.014065335753176044,0.02722323049001815,0.03070175438596491,0.01073805202661827,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,194
19,3982,ALLIS CHALMERS ENERGY INC.,200603,2006-03-22,10-K,edgar/data/3982/0000950129-06-002926.txt,40,50,-0.11111110987654323,17.28125,0.5215706535778869,7.121128261431155,2019,3871,36,18,0.01033324722293981,0.012916559028674762,0.009299922500645827,0.004649961250322914,0,7,-0.9999998571428775,11.928571428571429,0.46107784431137727,4.955859709153123,77,167,23,1,0.0,0.041916167664670656,0.1377245508982036,0.005988023952095809,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,523
20,3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-01,10-K/A,edgar/data/3982/0000950129-06-004690.txt,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,15
21,3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-10,10-Q,edgar/data/3982/0000950129-06-005244.txt,21,37,-0.2758620642092748,15.537234042553191,0.5066757959602876,6.417563935405392,1480,2921,39,26,0.00718931872646354,0.01266689489900719,0.013351591920575145,0.00890106128038343,0,7,-0.9999998571428775,9.714285714285714,0.41911764705882354,4.053361344537815,57,136,16,1,0.0,0.051470588235294115,0.11764705882352941,0.007352941176470588,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,651
